고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
adres,latitude,longitude,pstinst_cd,reglt_spot_nm,spt_kind_cd
서울 강서구 염창동 53-1,37.55350886688954,126.87110032590875,강서구,염창주민센터 사거리 주변,불법주정차구역
가양동 1497,37.567514,126.848718,강서구,가양보람아파트 정문 주변,불법주정차구역
가양동 1500,37.567363,126.84981,강서구,한강자이아파트 출입구 주변,불법주정차구역
서울 강서구 염창동 254-2,37.5507219160475,126.876423538204,강서구,무학아파트 105동주변,불법주정차구역
서울 강서구 화곡동 1075-25,37.54093446809216,126.8407663044091,강서구,화곡역 인품빌딩 주변,불법주정차구역
서울 강서구 화곡동 340-53,37.53272244842884,126.84631342892417,강서구,까치산역 1번 출구 주변,불법주정차구역
등촌3동 14-18,37.56419,126.84892,강서구,홈플러스 가양점 주변,불법주정차구역
우장산동 677-11,37.552696,126.83655,강서구,미즈메디병원 주변,불법주정차구역
서울 강서구 화곡동 1065-24,37.54160893751129,126.83982004810602,강서구,화곡역 7번 출구 주변,불법주정차구역
서울 강서구 방화동 886,37.56241101760745,126.80281395412042,강서구,김포공항 롯데몰 주변,불법주정차구역
서울 강서구 등촌동 638,37.55807293828678,126.8578196025059,강서구,서광등촌아파트 정문 주변,불법주정차구역
내발산동 668,37.55473213,126.8361923,강서구,가곡초등학교 정문 주변,불법주정차구역
방화동 589-9,37.5678725510148,126.80921329871702,강서구,방화태승훼미리3차 주변,불법주정차구역
서울 강서구 염창동 258-1,37.549417572419976,126.87671182725336,강서구,동아3차아파트 상가 주변,불법주정차구역
마곡동 717,37.57448793,126.8369102,강서구,금호어울림 버스정류장 주변,불법주정차구역
화곡동 1091-10,37.54739167,126.8331669,강서구,화곡푸르지오 후문 주변,불법주정차구역
서울 강서구 화곡동 98-99,37.54186736238728,126.84441632437449,강서구,볏골공원 주변,불법주정차구역
서울 강서구 화곡동 340-47,37.53347423608091,126.84589326809617,강서구,화곡터널 주변,불법주정차구역
화곡동 98-150,37.54263,126.84385,강서구,화곡본동시장(구도로),불법주정차구역
화곡본동 1076-1,37.541706,126.84104,강서구,화곡역 3번 출구 주변,불법주정차구역
염창동 267-19,37.55179922,126.8677853,강서구,염창초교 앞 주변,불법주정차구역
등촌1동 628-15,37.558857,126.856155,강서구,라인아파트 정문 주변,불법주정차구역
가양동 187-6,37.56995022,126.8408382,강서구,양천초교 앞 주변,불법주정차구역
화곡8동 893-1,37.5297,126.84811,강서구,KT화곡지사 주변,불법주정차구역
등촌1동 630-13,37.557632,126.861275,강서구,증미역 4번출구 주변,불법주정차구역
화곡1동 362-84,37.53432124,126.838289,강서구,화곡1동 우리은행,불법주정차구역
염창동 281-22,37.54871413,126.8738642,강서구,이수어린이공원 주변,불법주정차구역
서울 강서구 마곡동 785-7,37.56350655930271,126.83900068518912,강서구,유림트윈파크 주변,불법주정차구역
서울 강서구 마곡동 776-6,37.56676067696738,126.84012275555035,강서구,좋은책신사고 주변,불법주정차구역
마곡동 731-107,37.56657951006646,126.81769453083652,강서구,신방화역 환승주차장 주변,불법주정차구역
서울 강서구 마곡동 795-4,37.560190920008495,126.83574822393291,강서구,인터시티서울호텔 주변,불법주정차구역
마곡동 728-213,37.55790953,126.8298407,강서구,마곡엠벨리15단지 주변,불법주정차구역
서울 강서구 마곡동 792-8,37.56105130195752,126.83732522009518,강서구,화천종합연구센터 주변,불법주정차구역
서울 강서구 마곡동 736,37.56889985906856,126.81934716134509,강서구,엠벨리3단지 301동 주변,불법주정차구역
서울 강서구 마곡동 748,37.558541950800865,126.82018846672982,강서구,엠벨리10-13단지 사이 주변,불법주정차구역
마곡동 721-8,37.55796237,126.826455,강서구,엠벨리 14단지 1401동 주변,불법주정차구역
서울 강서구 마곡동 765,37.56816526153261,126.82820907526464,강서구,오스템임플란트연구소 주변,불법주정차구역
마곡동 727-824,37.56413226,126.8272826,강서구,공항철도 마곡역 주변,불법주정차구역
서울 강서구 마곡동 776-1,37.56834315295807,126.83936947126324,강서구,대방디엠시티 주변,불법주정차구역
마곡동 730-263,37.56164246,126.820619,강서구,남북통합문화센터 주변,불법주정차구역
서울 강서구 방화동 829,37.57763247067855,126.81196196512994,강서구,방화서주차장 주변 ,불법주정차구역
등촌동 658-7,37.557151926630674,126.85072805658306,강서구,부민병원 뒷편 주변,불법주정차구역
등촌동 691-1,37.56461136,126.8459863,강서구,등촌동성105동 입구 주변,불법주정차구역
마곡동 730-546,37.5568432494513,126.81997610078534,강서구,공항동 반야정사 주변,불법주정차구역
마곡동 361-6,37.56709304551048,126.82360467049815,강서구,마곡엠벨리712동건너편주변,불법주정차구역
가양동 1474,37.56493573,126.8543533,강서구,가양3단지302동쪽 주변 ,불법주정차구역
서울 강서구 화곡동 1066-1,37.540850564188744,126.83705229549358,강서구,화곡역부천방향버스정류장주변,불법주정차구역
서울 강서구 화곡동 110-10,37.544042439130976,126.84378378850056,강서구,화곡본동시장(큰도로),불법주정차구역
서울 강서구 마곡동 797-6,37.5601158413303,126.83360645161367,강서구,건와빌딩 주변,불법주정차구역
마곡동 747-2,37.55882096,126.8184374,강서구,마곡13단지 정문주변,불법주정차구역
서울 강서구 마곡동 760-1,37.56826623879625,126.82640625091679,강서구,공공건축연구원 주변,불법주정차구역
서울 강서구 가양동 1480,37.563535433077114,126.85247959967742,강서구,영보빌딩 주변,불법주정차구역
서울 강서구 마곡동 산 3,37.57258332835809,126.83844911140554,강서구,궁산전시관 주변,불법주정차구역
서울 강서구 등촌동 630-7,37.55763947121776,126.85887296835922,강서구,시니어스타워 주변,불법주정차구역
서울 강서구 방화동 879,37.574716423574934,126.80972364593302,강서구,한서고등학교 주변,불법주정차구역
서울 강서구 방화동 886,37.56578807772687,126.80181606541956,강서구,국제선2층,불법주정차구역
서울 강서구 공항동 1373,37.55989690167276,126.80261119707228,강서구,국내선2층,불법주정차구역
서울 강서구 방화동 886,37.56450462523221,126.80075409398075,강서구,국제선1층,불법주정차구역
서울 강서구 공항동 1373,37.55831936751123,126.80484495590285,강서구,국내선1층,불법주정차구역
서울 강서구 공항동 1373,37.560537839522375,126.8020011589573,강서구,국내선 행사전용 주차장,불법주정차구역
서울 강서구 화곡동 55-79,37.541012091134434,126.84840103194131,강서구,화일초교 주변 ,불법주정차구역
서울 강서구 공항동 12-3,37.563073025182135,126.81520735207537,강서구,공항중학교 주변,불법주정차구역
서울 강서구 방화동 836,37.576522853519066,126.81826178885306,강서구,정곡초교 정문 주변,불법주정차구역
서울 강서구 등촌동 671-3,37.55947100594461,126.84133520410638,강서구,원당근린공원 주변,불법주정차구역
서울 강서구 방화동 849,37.572624406445875,126.80727962121925,강서구,개화산역 주변,불법주정차구역
서울 강서구 가양동 56-2,37.56639754891502,126.8448293980969,강서구,가양오토갤러리 주변,불법주정차구역
등촌동 639-23,37.55763380978432,126.85604922349536,강서구,홈플러스강서점뒷편주변,불법주정차구역
염창동 280-17,37.54801666753888,126.87053548655659,강서구,서울중앙혈액원 주변,불법주정차구역
서울 강서구 마곡동 734,37.5674397028534,126.81899130521303,강서구,신방화역 4번 출구 주변,불법주정차구역
서울 강서구 마곡동 797-15,37.55971847426604,126.83779498411464,강서구,힐스테이트에코 주변,불법주정차구역
서울 강서구 마곡동 808,37.557401653570125,126.83525778601502,강서구,이대서울병원정문 주변,불법주정차구역
서울 강서구 마곡동 743-5,37.56267424151224,126.82099487633181,강서구,공항초교 주변,불법주정차구역
서울 강서구 마곡동 749-2,37.55826984202654,126.82346702354073,강서구,공진초교 주변,불법주정차구역
서울 강서구 마곡동 771-4,37.56064943603772,126.8302692520252,강서구,이너매스마곡1 주변,불법주정차구역
서울 강서구 마곡동 812,37.56852673275821,126.83528422366994,강서구,서울식물원 주변,불법주정차구역
서울 강서구 마곡동 781-13,37.56531748736405,126.83730462470701,강서구,트라이콤텍 사거리 주변,불법주정차구역
서울 강서구 마곡동 781,37.56746460798568,126.83766782696605,강서구,크레스라이트연구소 주변,불법주정차구역
서울 강서구 마곡동 787-4,37.56367393778018,126.8362301053564,강서구,에스오일센터 주변,불법주정차구역
서울 강서구 마곡동 800-14,37.55835165207217,126.83325952407074,강서구,의약품수출입협회주변,불법주정차구역
마곡동 728-62,37.555212916773186,126.83254221124689,강서구,명덕외고후문주변,불법주정차구역
서울 강서구 마곡동 808,37.556759738975515,126.83691297215493,강서구,이대병원후문응급센타주변,불법주정차구역
서울 강서구 내발산동 753,37.54997638232231,126.82361106684877,강서구,수명산4단지 사거리 주변,불법주정차구역
서울 강서구 마곡동 798,37.559263567123935,126.8237193318225,강서구,홈앤쇼핑 주차장 주변,불법주정차구역
서울 강서구 방화동 614-60,37.56511038905501,126.81163690317906,강서구,SK방화주유소 주변,불법주정차구역
서울 강서구 등촌동 687,37.56603247886235,126.8429993190465,강서구,등촌주공1.2단지 상가 주변,불법주정차구역
서울 강서구 염창동 290,37.557368425063245,126.86596396719697,강서구,벽산늘푸른아파트 삼거리 주변,불법주정차구역
서울 강서구 마곡동 727-1496,37.559220445946316,126.83762912479332,강서구,발산역1번출구 공원 주변,불법주정차구역
서울 강서구 염창동 289,37.55528733015048,126.86814910497286,강서구,신동아아파트 사거리 주변,불법주정차구역
서울 강서구 공항동 22-16,37.56267121428376,126.81039801906665,강서구,송정초교 정문 주변,불법주정차구역
서울 강서구 방화동 886,37.565880046663445,126.80158802897782,강서구,국제선1층 1번게이트 주변,불법주정차구역
서울 강서구 방화동 197-1,37.57152426808186,126.82249054401004,강서구,마곡삼성아파트 주변,불법주정차구역
서울 강서구 등촌동 366-10,37.54938192775755,126.86085193588803,강서구,태진아름아파트 주변,불법주정차구역
서울 강서구 공항동 60-28,37.55884896513385,126.810537859798,강서구,공항동주민센터 주변,불법주정차구역
서울 강서구 가양동 1484,37.56158707296457,126.85991246117241,강서구,가양초등학교 주변,불법주정차구역
서울 강서구 화곡동 451-23,37.533391855027816,126.85192662385847,강서구,신정초교 후문 주변,불법주정차구역
서울 강서구 방화동 286-25,37.57346346010483,126.81646933629356,강서구,신방화사거리 주변,불법주정차구역
서울 강서구 등촌동 635-4,37.55467618414528,126.86161449230435,강서구,백석초등학교 주변,불법주정차구역
서울 강서구 방화동 563-25,37.57203875948671,126.81146380744452,강서구,방신전통시장 주변,불법주정차구역
서울 강서구 화곡동 59-9,37.54271736914327,126.84676250366971,강서구,화곡초등학교 주변,불법주정차구역
서울 강서구 공항동 1373,37.5588469981143,126.80381648644925,강서구,국내선2층 4번게이트 주변,불법주정차구역
서울 강서구 화곡동 359-59,37.532424676871905,126.83921460215117,강서구,새마을금고 주변,불법주정차구역
서울 강서구 등촌동 647,37.55366722284112,126.86368455037201,강서구,심미에셈빌 주변,불법주정차구역
서울 강서구 마곡동 738,37.56948555886569,126.82537052163286,강서구,마곡엠벨리4단지 정문 주변,불법주정차구역
서울 강서구 내발산동 742,37.55341895555598,126.83027999281192,강서구,수명산파크1단지 주변,불법주정차구역
서울 강서구 공항동 22-30,37.563649262318265,126.8106898229554,강서구,공항시장역 주변,불법주정차구역
서울 강서구 염창동 95-10,37.551526139460925,126.8726852544358,강서구,염동초등학교 주변,불법주정차구역
서울 강서구 등촌동 519-25,37.54715735080633,126.8596990025674,강서구,등촌초등학교 주변,불법주정차구역
